index,year,NOx,NMVOC,SO2,NH3,PM2.5,PM10,TSP,BC,CO
AgriLivestock,1990,1.719786834704661,390.7963537929525,0.0,303.2567653886038,0.0,0.0,50.04083248336517,0.0,0.0
AgriLivestock,1991,1.5243380839171947,349.55678712548024,0.0,264.5110023917695,0.0,0.0,44.27961881242406,0.0,0.0
AgriLivestock,1992,1.506430789164458,339.624483114943,0.0,262.5993701323617,0.0,0.0,43.13204699949345,0.0,0.0
AgriLivestock,1993,1.510457628577006,340.04200107514015,0.0,260.89483542215663,0.0,0.0,42.76240836893068,0.0,0.0
AgriLivestock,1994,1.554770440770653,332.6097519353795,0.0,258.7861069518223,0.0,0.0,42.98594871126418,0.0,0.0
AgriLivestock,1995,1.5511888762567299,332.18071547544145,0.0,256.0833971880221,4.474865951446786,12.707997617913495,42.24013573889672,0.0,0.0
AgriLivestock,1996,1.558447716693681,332.93873904087576,0.0,258.3255454179052,4.458037378273867,12.7876737155522,42.596183182315244,0.0,0.0
AgriLivestock,1997,1.5238397022358932,324.1735714248705,0.0,255.28254674330645,4.333410839241708,12.668126040638116,42.421325003249976,0.0,0.0
AgriLivestock,1998,1.5257462822496572,321.79227836219354,0.0,259.5792688386005,4.2663996778211875,12.741667272608002,43.27249444242647,0.0,0.0
AgriLivestock,1999,1.518866170476154,319.74109205122915,0.0,257.3246734913331,4.229765841724559,12.67410998194606,42.78803024128643,0.0,0.0
AgriLivestock,2000,1.523365051849967,318.00733789096887,0.0,256.9122922244745,4.180790251542572,12.634528787831883,42.435362301243416,0.0,0.0
AgriLivestock,2001,1.5572846313574173,322.8448752984327,0.0,261.19741940271024,4.208076308143693,12.760984789310562,42.59896309055816,0.0,0.0
AgriLivestock,2002,1.5203619357914249,311.7781280765339,0.0,257.2093701569621,4.09851458185476,12.666114590761923,42.33227880198189,0.0,0.0
AgriLivestock,2003,1.545095301147797,308.25801763359675,0.0,259.5198411861178,4.0463507958195795,12.661527663274434,42.27551635346058,0.0,0.0
AgriLivestock,2004,1.511553446836195,299.30152574125196,0.0,254.02374549577394,3.9380360858026515,12.337138086625275,40.97964748889072,0.0,0.0
AgriLivestock,2005,1.533977001390341,297.646612821049,0.0,257.31909616735464,3.891699941288125,12.290574060536876,41.25719719584227,0.0,0.0
AgriLivestock,2006,1.5187487551876548,292.895065666827,0.0,254.24464585536137,3.820166434437028,12.24693337114975,41.03820941544161,0.0,0.0
AgriLivestock,2007,1.5404347978148059,295.13611722180946,0.0,258.03987897165234,3.824163249417303,12.425940745513675,41.842896037831856,0.0,0.0
AgriLivestock,2008,1.545877358210131,296.5215879312529,0.0,257.9562976835691,3.902589090490232,12.492158897237507,41.60285762196328,0.0,0.0
AgriLivestock,2009,1.552731815024188,297.3635321782221,0.0,258.8591089978497,3.8959012670753217,12.504005091272028,41.614262022832825,0.0,0.0
AgriLivestock,2010,1.529364658099726,296.7856796589365,0.0,252.88476718000427,3.860135642722575,12.317756327746041,40.31972824926799,0.0,0.0
AgriLivestock,2011,1.5016727778633268,297.13274474162614,0.0,253.16890551252874,3.8646831905084365,12.750275606388309,41.791867017952406,0.0,0.0
